,Finance,Production,Reserves / Exploration / Acquisitions / Mergers / Divestments,Environment / Regulatory / Geopolitics,Alternative Energy / Lower Carbon,Oil Price / Natural Gas Price / Gasoline Price
56,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
57,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
58,Positive,Neutral,Neutral,Neutral,Neutral,Positive
59,Positive,Positive,Neutral,Neutral,Neutral,Positive
60,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
61,Positive,Positive,Neutral,Neutral,Neutral,Positive
62,Neutral,Positive,Positive,Neutral,Neutral,Neutral
63,Neutral,Positive,Positive,Neutral,Neutral,Neutral
64,Positive,Neutral,Neutral,Neutral,Positive,Negative
65,Neutral,Neutral,Neutral,Negative,Positive,Neutral
66,Positive,Positive,Neutral,Neutral,Neutral,Positive
67,Positive,Positive,Neutral,Neutral,Neutral,Positive
68,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
69,Positive,Positive,Neutral,Neutral,Neutral,Positive
70,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
71,Positive,Positive,Neutral,Neutral,Neutral,Positive
72,Negative,Negative,Neutral,Negative,Neutral,Negative
73,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
74,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
75,Positive,Neutral,Neutral,Neutral,Neutral,Positive
76,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
77,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
78,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
79,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
80,Positive,Positive,Neutral,Neutral,Neutral,Positive
81,Positive,Positive,Neutral,Neutral,Neutral,Positive
82,Positive,Positive,Neutral,Neutral,Neutral,Positive
83,Positive,Positive,Neutral,Neutral,Neutral,Positive
84,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
85,Positive,Positive,Neutral,Neutral,Neutral,Positive
86,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
87,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
88,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
89,Positive,Positive,Neutral,Neutral,Neutral,Positive
90,Positive,Positive,Neutral,Neutral,Neutral,Positive
91,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
92,Positive,Positive,Neutral,Neutral,Neutral,Positive
93,Positive,Positive,Neutral,Neutral,Neutral,Positive
94,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
95,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
96,Neutral,Neutral,Negative,Neutral,Neutral,Neutral
97,Positive,Positive,Neutral,Neutral,Neutral,Positive
98,Positive,Positive,Neutral,Negative,Neutral,Positive
99,Positive,Positive,Neutral,Neutral,Neutral,Positive
100,Positive,Positive,Neutral,Neutral,Neutral,Positive
101,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
102,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
103,Positive,Positive,Neutral,Neutral,Neutral,Positive
104,Negative,Negative,Neutral,Negative,Neutral,Neutral
105,Neutral,Negative,Neutral,Neutral,Neutral,Neutral
106,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
107,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
108,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
109,Positive,Positive,Neutral,Neutral,Neutral,Positive
110,Positive,Positive,Neutral,Neutral,Neutral,Positive
111,Positive,Positive,Neutral,Neutral,Neutral,Positive
112,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
113,Neutral,Positive,Positive,Neutral,Neutral,Neutral
114,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
115,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
116,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
117,Positive,Positive,Neutral,Neutral,Neutral,Positive
118,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
119,Positive,Positive,Neutral,Neutral,Neutral,Positive
120,Positive,Positive,Neutral,Neutral,Neutral,Positive
121,Positive,Positive,Neutral,Neutral,Neutral,Positive
122,Positive,Positive,Neutral,Neutral,Neutral,Positive
123,Positive,Positive,Neutral,Neutral,Neutral,Positive
124,Positive,Positive,Neutral,Neutral,Neutral,Positive
125,Positive,Positive,Neutral,Neutral,Neutral,Positive
126,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
127,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
128,Positive,Positive,Neutral,Neutral,Neutral,Positive
129,Positive,Neutral,Neutral,Negative,Neutral,Positive
130,Neutral,Negative,Neutral,Negative,Neutral,Neutral
131,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
132,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
133,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
134,Positive,Positive,Neutral,Neutral,Neutral,Positive
135,Positive,Positive,Neutral,Neutral,Neutral,Positive
136,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
137,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
138,Positive,Positive,Neutral,Neutral,Neutral,Positive
139,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
140,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
141,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
142,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
143,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
144,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
145,Positive,Positive,Positive,Neutral,Neutral,Positive
146,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
147,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
148,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
149,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
150,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
151,Positive,Positive,Neutral,Neutral,Neutral,Positive
152,Positive,Positive,Neutral,Neutral,Neutral,Positive
153,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
154,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
155,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
156,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
157,Positive,Positive,Neutral,Neutral,Neutral,Positive
158,Neutral,Positive,Positive,Neutral,Neutral,Neutral
159,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
160,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
161,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
162,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
163,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
164,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
165,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
166,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
167,Negative,Neutral,Neutral,Negative,Neutral,Neutral
168,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
169,Positive,Positive,Neutral,Neutral,Neutral,Positive
170,Negative,Neutral,Neutral,Negative,Neutral,Neutral
171,Positive,Positive,Neutral,Neutral,Neutral,Positive
172,Positive,Positive,Neutral,Neutral,Neutral,Positive
173,Negative,Neutral,Neutral,Neutral,Neutral,Negative
174,Positive,Positive,Neutral,Neutral,Neutral,Positive
175,Positive,Positive,Neutral,Neutral,Neutral,Positive
176,Positive,Positive,Neutral,Neutral,Neutral,Positive
177,Positive,Positive,Neutral,Neutral,Neutral,Positive
178,Positive,Positive,Neutral,Neutral,Neutral,Positive
179,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
180,Positive,Positive,Neutral,Neutral,Neutral,Positive
181,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
182,Neutral,Neutral,Neutral,Positive,Neutral,Positive
183,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
184,Positive,Positive,Neutral,Neutral,Neutral,Positive
185,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
186,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
187,Positive,Positive,Positive,Neutral,Neutral,Positive
188,Neutral,Positive,Neutral,Neutral,Neutral,Neutral
189,Positive,Positive,Neutral,Neutral,Neutral,Neutral
190,Neutral,Positive,Positive,Neutral,Neutral,Neutral
191,Positive,Positive,Neutral,Neutral,Neutral,Positive
192,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
193,Positive,Positive,Neutral,Neutral,Neutral,Positive
194,Negative,Neutral,Neutral,Neutral,Neutral,Negative
195,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
196,Negative,Neutral,Neutral,Neutral,Neutral,Negative
197,Positive,Positive,Neutral,Neutral,Neutral,Positive
198,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
199,Positive,Positive,Neutral,Neutral,Neutral,Positive
200,Positive,Positive,Neutral,Neutral,Neutral,Positive
201,Neutral,Neutral,Neutral,Positive,Positive,Negative
202,Positive,Positive,Neutral,Neutral,Neutral,Positive
203,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
204,Positive,Positive,Neutral,Neutral,Neutral,Positive
205,Positive,Positive,Neutral,Neutral,Neutral,Positive
206,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
207,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
208,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
209,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
210,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
211,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
212,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
213,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
214,Positive,Positive,Neutral,Neutral,Neutral,Positive
215,Positive,Positive,Positive,Neutral,Neutral,Neutral
216,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
217,Positive,Positive,Neutral,Neutral,Neutral,Positive
218,Neutral,Neutral,Neutral,Negative,Neutral,Negative
219,Positive,Positive,Positive,Neutral,Neutral,Neutral
220,Positive,Positive,Neutral,Neutral,Neutral,Positive
221,Positive,Positive,Neutral,Neutral,Neutral,Positive
222,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
223,Positive,Positive,Neutral,Neutral,Neutral,Positive
224,Positive,Positive,Neutral,Neutral,Neutral,Positive
225,Positive,Positive,Neutral,Neutral,Neutral,Positive
226,Positive,Positive,Neutral,Neutral,Neutral,Positive
227,Positive,Positive,Neutral,Neutral,Neutral,Positive
228,Positive,Positive,Neutral,Neutral,Neutral,Positive
229,Positive,Positive,Neutral,Neutral,Neutral,Positive
230,Neutral,Positive,Neutral,Neutral,Neutral,Neutral
231,Positive,Positive,Neutral,Neutral,Neutral,Positive
232,Positive,Positive,Neutral,Neutral,Neutral,Positive
233,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
234,Positive,Positive,Neutral,Neutral,Neutral,Positive
235,Positive,Positive,Neutral,Neutral,Neutral,Positive
236,Positive,Positive,Positive,Neutral,Neutral,Positive
237,Neutral,Neutral,Neutral,Positive,Positive,Neutral
238,Positive,Positive,Neutral,Neutral,Neutral,Positive
239,Neutral,Positive,Neutral,Neutral,Neutral,Neutral
240,Neutral,Neutral,Positive,Neutral,Neutral,Positive
241,Positive,Positive,Neutral,Neutral,Neutral,Positive
242,Positive,Positive,Neutral,Neutral,Neutral,Positive
243,Positive,Positive,Positive,Neutral,Neutral,Neutral
244,Positive,Positive,Neutral,Neutral,Neutral,Positive
245,Positive,Positive,Neutral,Neutral,Neutral,Positive
246,Positive,Positive,Neutral,Neutral,Neutral,Positive
247,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
248,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
249,Neutral,Neutral,Negative,Positive,Neutral,Negative
250,Positive,Positive,Neutral,Neutral,Neutral,Positive
251,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
252,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
253,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
254,Neutral,Positive,Positive,Negative,Neutral,Positive
255,Positive,Positive,Neutral,Neutral,Neutral,Positive
256,Positive,Positive,Positive,Negative,Neutral,Positive
257,Positive,Positive,Neutral,Neutral,Neutral,Positive
258,Positive,Positive,Neutral,Neutral,Neutral,Positive
259,Positive,Positive,Neutral,Neutral,Neutral,Positive
260,Neutral,Positive,Positive,Neutral,Neutral,Positive
261,Neutral,Positive,Positive,Neutral,Neutral,Neutral
262,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
263,Positive,Positive,Neutral,Neutral,Neutral,Positive
264,Positive,Positive,Neutral,Neutral,Neutral,Positive
265,Positive,Positive,Neutral,Neutral,Neutral,Positive
266,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
267,Positive,Positive,Positive,Neutral,Neutral,Positive
268,Positive,Neutral,Positive,Neutral,Neutral,Neutral
269,Positive,Positive,Positive,Neutral,Neutral,Positive
270,Positive,Positive,Neutral,Neutral,Neutral,Positive
271,Neutral,Negative,Negative,Negative,Neutral,Neutral
272,Positive,Positive,Neutral,Neutral,Neutral,Positive
273,Neutral,Neutral,Neutral,Positive,Positive,Neutral
274,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
275,Positive,Positive,Neutral,Neutral,Neutral,Positive
276,Positive,Positive,Neutral,Neutral,Neutral,Positive
277,Positive,Positive,Neutral,Neutral,Neutral,Positive
278,Positive,Positive,Neutral,Neutral,Neutral,Positive
279,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
280,Positive,Neutral,Neutral,Neutral,Positive,Neutral
281,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
282,Positive,Positive,Neutral,Neutral,Neutral,Positive
283,Positive,Positive,Neutral,Neutral,Neutral,Positive
284,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
285,Positive,Positive,Neutral,Neutral,Neutral,Positive
286,Positive,Positive,Neutral,Neutral,Neutral,Positive
287,Neutral,Neutral,Neutral,Neutral,Neutral,Negative
288,Neutral,Neutral,Neutral,Negative,Positive,Neutral
289,Positive,Positive,Neutral,Neutral,Neutral,Positive
290,Positive,Positive,Positive,Neutral,Neutral,Positive
291,Neutral,Neutral,Neutral,Positive,Positive,Neutral
292,Positive,Positive,Neutral,Neutral,Neutral,Positive
293,Positive,Positive,Neutral,Neutral,Neutral,Positive
294,Neutral,Neutral,Neutral,Positive,Positive,Neutral
295,Positive,Positive,Neutral,Neutral,Neutral,Positive
296,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
297,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
298,Neutral,Neutral,Neutral,Positive,Positive,Neutral
299,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
300,Positive,Positive,Neutral,Neutral,Neutral,Positive
301,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
302,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
303,Positive,Positive,Neutral,Neutral,Neutral,Neutral
304,Positive,Positive,Neutral,Neutral,Neutral,Positive
305,Positive,Positive,Neutral,Neutral,Neutral,Positive
306,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
307,Positive,Positive,Neutral,Neutral,Neutral,Positive
308,Positive,Positive,Neutral,Neutral,Neutral,Positive
309,Positive,Positive,Neutral,Neutral,Neutral,Neutral
310,Positive,Positive,Neutral,Neutral,Neutral,Positive
311,Positive,Positive,Neutral,Neutral,Neutral,Positive
312,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
313,Positive,Positive,Neutral,Neutral,Neutral,Positive
314,Positive,Positive,Neutral,Neutral,Neutral,Positive
315,Positive,Positive,Neutral,Neutral,Neutral,Positive
316,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
317,Positive,Positive,Neutral,Neutral,Neutral,Positive
318,Positive,Positive,Neutral,Neutral,Neutral,Positive
319,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
320,Positive,Positive,Neutral,Neutral,Neutral,Positive
321,Positive,Positive,Neutral,Neutral,Neutral,Positive
322,Positive,Positive,Neutral,Neutral,Neutral,Positive
323,Positive,Positive,Neutral,Neutral,Neutral,Positive
324,Positive,Positive,Neutral,Neutral,Neutral,Positive
325,Positive,Positive,Neutral,Neutral,Neutral,Positive
326,Positive,Positive,Neutral,Neutral,Neutral,Positive
327,Neutral,Negative,Negative,Negative,Neutral,Negative
328,Positive,Positive,Neutral,Neutral,Neutral,Positive
329,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
330,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
331,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
332,Positive,Positive,Neutral,Neutral,Neutral,Positive
333,Positive,Neutral,Neutral,Negative,Neutral,Positive
334,Positive,Positive,Neutral,Neutral,Neutral,Positive
335,Positive,Neutral,Neutral,Neutral,Neutral,Positive
336,Positive,Neutral,Neutral,Neutral,Neutral,Positive
337,Positive,Positive,Neutral,Negative,Neutral,Positive
338,Positive,Positive,Neutral,Neutral,Neutral,Positive
339,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
340,Positive,Positive,Neutral,Neutral,Neutral,Positive
341,Positive,Positive,Neutral,Neutral,Neutral,Positive
342,Positive,Positive,Neutral,Neutral,Positive,Positive
343,Positive,Positive,Neutral,Neutral,Neutral,Positive
344,Positive,Positive,Neutral,Neutral,Neutral,Positive
345,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
346,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
347,Positive,Positive,Neutral,Neutral,Neutral,Positive
348,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
349,Positive,Positive,Neutral,Neutral,Neutral,Positive
350,Negative,Neutral,Neutral,Negative,Neutral,Negative
351,Neutral,Positive,Neutral,Positive,Positive,Neutral
352,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
353,Positive,Positive,Neutral,Neutral,Neutral,Positive
354,Positive,Positive,Neutral,Neutral,Neutral,Positive
355,Positive,Positive,Positive,Neutral,Positive,Positive
356,Positive,Positive,Positive,Neutral,Positive,Positive
357,Positive,Positive,Neutral,Neutral,Neutral,Positive
358,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
359,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
360,Positive,Positive,Positive,Positive,Neutral,Positive
361,Positive,Positive,Neutral,Neutral,Neutral,Positive
362,Positive,Positive,Neutral,Neutral,Neutral,Positive
363,Positive,Positive,Neutral,Neutral,Neutral,Positive
364,Positive,Positive,Neutral,Neutral,Neutral,Positive
365,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
366,Positive,Positive,Neutral,Neutral,Neutral,Positive
367,Positive,Positive,Neutral,Neutral,Neutral,Positive
368,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
369,Positive,Positive,Neutral,Negative,Neutral,Positive
370,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
371,Positive,Positive,Neutral,Neutral,Neutral,Positive
372,Positive,Positive,Neutral,Neutral,Neutral,Positive
373,Positive,Positive,Neutral,Neutral,Neutral,Positive
374,Positive,Positive,Neutral,Neutral,Neutral,Positive
375,Positive,Positive,Neutral,Neutral,Neutral,Positive
376,Positive,Positive,Neutral,Neutral,Neutral,Positive
377,Positive,Positive,Neutral,Neutral,Neutral,Positive
378,Negative,Negative,Negative,Negative,Neutral,Neutral
379,Positive,Positive,Neutral,Neutral,Neutral,Positive
380,Positive,Positive,Neutral,Neutral,Neutral,Positive
381,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
382,Positive,Positive,Neutral,Neutral,Neutral,Positive
383,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
384,Positive,Positive,Neutral,Neutral,Neutral,Positive
385,Positive,Positive,Neutral,Neutral,Neutral,Positive
386,Positive,Positive,Neutral,Neutral,Neutral,Positive
387,Positive,Positive,Neutral,Neutral,Neutral,Positive
388,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
389,Positive,Positive,Neutral,Neutral,Neutral,Positive
390,Positive,Positive,Neutral,Neutral,Neutral,Positive
391,Positive,Positive,Neutral,Neutral,Neutral,Positive
392,Positive,Positive,Neutral,Neutral,Neutral,Positive
393,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
394,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
395,Positive,Positive,Neutral,Neutral,Neutral,Positive
396,Positive,Positive,Neutral,Neutral,Neutral,Positive
397,Neutral,Neutral,Neutral,Positive,Positive,Neutral
398,Neutral,Neutral,Neutral,Positive,Positive,Neutral
399,Positive,Positive,Neutral,Neutral,Neutral,Positive
400,Positive,Positive,Neutral,Neutral,Neutral,Positive
401,Positive,Positive,Neutral,Neutral,Neutral,Positive
402,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
403,Positive,Positive,Neutral,Neutral,Neutral,Positive
404,Positive,Positive,Neutral,Neutral,Neutral,Positive
405,Positive,Positive,Neutral,Neutral,Neutral,Positive
406,Neutral,Neutral,Neutral,Positive,Positive,Neutral
407,Positive,Positive,Neutral,Neutral,Neutral,Positive
408,Positive,Positive,Neutral,Neutral,Neutral,Positive
409,Positive,Positive,Neutral,Neutral,Neutral,Positive
410,Positive,Positive,Neutral,Neutral,Neutral,Positive
411,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
412,Positive,Positive,Neutral,Neutral,Neutral,Positive
413,Positive,Positive,Positive,Neutral,Neutral,Positive
414,Positive,Positive,Neutral,Neutral,Neutral,Positive
415,Positive,Positive,Neutral,Neutral,Neutral,Positive
416,Positive,Positive,Neutral,Neutral,Neutral,Positive
417,Positive,Positive,Neutral,Neutral,Neutral,Positive
418,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
419,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
420,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
421,Positive,Positive,Positive,Neutral,Neutral,Positive
422,Neutral,Positive,Positive,Neutral,Neutral,Neutral
423,Positive,Positive,Neutral,Neutral,Neutral,Positive
424,Neutral,Neutral,Neutral,Positive,Neutral,Negative
425,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
426,Positive,Neutral,Neutral,Negative,Neutral,Positive
427,Positive,Neutral,Neutral,Negative,Neutral,Positive
428,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
429,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
430,Positive,Positive,Neutral,Neutral,Neutral,Positive
431,Positive,Neutral,Neutral,Neutral,Neutral,Positive
432,Positive,Positive,Neutral,Neutral,Neutral,Positive
433,Positive,Positive,Neutral,Neutral,Neutral,Positive
434,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
435,Positive,Positive,Neutral,Neutral,Neutral,Positive
436,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
437,Neutral,Neutral,Neutral,Positive,Positive,Neutral
438,Positive,Positive,Positive,Positive,Positive,Neutral
439,Positive,Positive,Neutral,Neutral,Neutral,Positive
440,Positive,Neutral,Neutral,Positive,Positive,Positive
441,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
442,Positive,Positive,Neutral,Neutral,Neutral,Positive
443,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
444,Positive,Positive,Positive,Neutral,Neutral,Positive
445,Positive,Positive,Neutral,Neutral,Neutral,Positive
446,Positive,Positive,Neutral,Neutral,Neutral,Positive
447,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
448,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
449,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
450,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
451,Positive,Positive,Neutral,Neutral,Neutral,Positive
452,Positive,Positive,Neutral,Neutral,Positive,Positive
453,Positive,Positive,Neutral,Neutral,Neutral,Positive
454,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
455,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
456,Positive,Positive,Positive,Neutral,Neutral,Positive
457,Positive,Positive,Neutral,Neutral,Neutral,Positive
458,Negative,Negative,Negative,Negative,Neutral,Neutral
459,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
460,Neutral,Neutral,Neutral,Positive,Positive,Neutral
461,Positive,Positive,Neutral,Neutral,Neutral,Positive
