Unique_ID,Finance,Production,Reserves / Exploration / Acquisitions / Mergers / Divestments,Environment / Regulatory / Geopolitics,Alternative Energy / Lower Carbon,Oil Price / Natural Gas Price / Gasoline Price
PQ-2568565526,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2563628323,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2563489576,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2563474531,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2774575440,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2561045934,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2556654333,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2556328099,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2555268416,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2555118389,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2774491352,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2524647857,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2524387331,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2520737324,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2520514427,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2520102781,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2519977378,Positive,Neutral,Neutral,Neutral,Neutral,Positive
PQ-2519678499,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2517140000,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2518874201,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2513058109,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2510499737,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2505526204,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2503256708,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2492102216,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2490405280,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2486604929,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2485331461,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2484702332,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2483702768,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2484121791,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
PQ-2483968356,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2483572535,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2482630184,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2467224251,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2466698861,Positive,Neutral,Neutral,Neutral,Neutral,Positive
PQ-2466258188,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2459185852,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2455479011,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2455124806,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2452305034,Neutral,Positive,Positive,Neutral,Neutral,Neutral
PQ-2452302081,Neutral,Positive,Positive,Neutral,Neutral,Neutral
PQ-2449355199,Positive,Neutral,Neutral,Neutral,Positive,Negative
PQ-2447778221,Neutral,Neutral,Neutral,Negative,Positive,Neutral
PQ-2447571631,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2445157674,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2436437585,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
PQ-2434686599,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2434599535,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2434495723,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
PQ-2429905066,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2429557110,Negative,Negative,Neutral,Negative,Neutral,Negative
PQ-2429312335,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
PQ-2429279667,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2429012450,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2425733097,Positive,Neutral,Neutral,Neutral,Neutral,Positive
PQ-2425496101,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
PQ-2425496061,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
PQ-2425413683,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2425108381,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2424873878,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2419950453,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2415718613,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2400715744,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2397178945,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2396703308,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2396322291,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2382382137,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2382207818,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2382005611,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2353566135,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2325503922,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2325127856,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2325127840,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2325127832,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2324792481,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323314971,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323189609,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2300871043,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2300871006,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2293021546,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
PQ-2268136378,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2244937767,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2244906592,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2244478210,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2244475922,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-3047045957,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-3040189451,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-3034936247,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2942028692,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2938179872,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2933659819,Neutral,Neutral,Negative,Neutral,Neutral,Neutral
PQ-2933332666,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2931885734,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2921371427,Positive,Positive,Neutral,Negative,Neutral,Positive
PQ-2915859696,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2915725873,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2915479301,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2912202531,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2908997139,Negative,Negative,Neutral,Negative,Neutral,Neutral
PQ-2908882392,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2899612043,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2899094041,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2893473441,Neutral,Negative,Neutral,Neutral,Neutral,Neutral
PQ-2899738061,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
PQ-2885523069,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2884523311,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
PQ-2883446973,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2882758853,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2881587076,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2881472918,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2880628182,Neutral,Positive,Positive,Neutral,Neutral,Neutral
PQ-2880628151,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2880628127,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2880536801,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2878015095,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2876097448,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2874710531,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2873691136,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2862850072,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2843310231,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2840908630,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2816882618,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2808142706,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2808054225,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2819912518,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2806819072,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2795153224,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2791979502,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2775581588,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2772959353,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2772936027,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2772553977,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2771856894,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2771237417,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2771152183,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2769962559,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2760492003,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2760070699,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2759651523,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2748143336,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2745193656,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2742617595,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2740634042,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2740324084,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2740193502,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2739630314,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2739520395,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2739209148,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2729783296,Positive,Neutral,Neutral,Negative,Neutral,Positive
PQ-2722122777,Neutral,Negative,Neutral,Negative,Neutral,Neutral
PQ-2722643285,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2721802552,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2721508150,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2721460199,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2721420498,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
PQ-2718784313,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2718711441,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2710406566,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2703460640,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2327801858,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2327620821,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2327697799,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2395334486,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2335373659,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2324684049,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323364655,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323315275,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323314949,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323229714,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323221766,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2326721500,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323244712,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323211159,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323175805,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2323117073,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2322866856,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2322859114,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2322855827,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2320722172,Positive,Positive,Positive,Neutral,Neutral,Positive
PQ-2321819316,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2331003355,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
PQ-2317510708,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2316753407,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2316821818,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2316790860,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2314045261,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2314015676,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2313418049,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2313311381,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2313003963,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2312730205,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2312669770,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2312653646,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2312399465,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2311985034,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2311739762,Neutral,Positive,Positive,Neutral,Neutral,Neutral
PQ-2321071424,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2311181715,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
PQ-2311067812,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2311027465,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2310983478,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2310889213,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2310292620,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2310494654,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2310215022,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2396369637,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2309248881,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2308993013,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2308970096,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2308426775,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2307639649,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2307602228,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2307536356,Negative,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2307418748,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2307303270,Negative,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2307218528,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2307074883,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2305680115,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2305658615,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2305609179,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2305548145,Negative,Neutral,Neutral,Neutral,Neutral,Negative
PQ-2305397458,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2305397248,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2305320046,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2305090264,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2304783731,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2304708249,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2304047777,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2303627043,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2301561316,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2299786813,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2299638787,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2297143627,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2295327228,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2295298802,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2294945255,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2294518615,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2293692170,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2292060661,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2398232013,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2290811223,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2290768719,Neutral,Neutral,Neutral,Positive,Neutral,Positive
PQ-2288038219,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2287923829,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
PQ-2287030008,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2285566362,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2283990814,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2282741594,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2280319350,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2277677979,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2274068973,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2306248294,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2273030879,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2273028984,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2272327921,Positive,Positive,Positive,Neutral,Neutral,Positive
PQ-2283233639,Neutral,Positive,Neutral,Neutral,Neutral,Neutral
PQ-2267932363,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2267895585,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2267884683,Positive,Positive,Neutral,Neutral,Neutral,Neutral
PQ-2267855886,Neutral,Positive,Positive,Neutral,Neutral,Neutral
PQ-2267735023,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2267672040,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2267639168,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2267638191,Negative,Neutral,Neutral,Neutral,Neutral,Negative
PQ-2267453183,Negative,Neutral,Neutral,Neutral,Neutral,Negative
PQ-2267366677,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2267342399,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2267286467,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2267148207,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2265507451,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2265089632,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2265017519,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2259455122,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2273011487,Neutral,Neutral,Neutral,Positive,Positive,Negative
PQ-2256171063,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2250928384,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2247734402,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2247355270,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2245639024,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2244906120,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2243775793,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2243346678,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2243086864,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2242835045,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2242820797,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2239979451,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2239863317,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2239510473,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2239283546,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2239089892,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
PQ-2402030268,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2235486926,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2235443163,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2233557520,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2231710988,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2231735045,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2231690024,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2230361536,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2227455983,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2227232356,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2227141839,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-3056009640,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-3052970753,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-3052970730,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-3052496953,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-3051275772,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-3050228204,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
