Source,Unique_ID,Ticker,Date,URL,Finance,Production,Reserves / Exploration / Acquisitions / Mergers / Divestments,Environment / Regulatory / Geopolitics,Alternative Energy / Lower Carbon,Oil Price / Natural Gas Price / Gasoline Price
ProQuest,PQ-2880296882 4,OXY,,https://www.proquest.com/newspapers/occidental-petroleum-stock-falls-lost-potential/docview/2880296882/se-2?accountid=7064,Negative,Neutral,Negative,Neutral,Positive,Neutral
ProQuest,PQ-2880296882 5,OXY,,https://www.proquest.com/newspapers/occidental-petroleum-stock-falls-lost-potential/docview/2880296882/se-2?accountid=7064,Negative,Positive,Negative,Neutral,Positive,Neutral
ProQuest,PQ-2880296882 6,OXY,,https://www.proquest.com/newspapers/occidental-petroleum-stock-falls-lost-potential/docview/2880296882/se-2?accountid=7064,Negative,Neutral,Negative,Negative,Positive,Neutral
ProQuest,PQ-2880296882 7,OXY,,https://www.proquest.com/newspapers/occidental-petroleum-stock-falls-lost-potential/docview/2880296882/se-2?accountid=7064,Negative,Positive,Neutral,Negative,Positive,Neutral
ProQuest,PQ-2880296882 8,OXY,,https://www.proquest.com/newspapers/occidental-petroleum-stock-falls-lost-potential/docview/2880296882/se-2?accountid=7064,Negative,Neutral,Negative,Neutral,Positive,Neutral
ProQuest,PQ-2880296882 9,OXY,,https://www.proquest.com/newspapers/occidental-petroleum-stock-falls-lost-potential/docview/2880296882/se-2?accountid=7064,Negative,Positive,Neutral,Neutral,Positive,Neutral
ProQuest,PQ-2880296882 10,OXY,,https://www.proquest.com/newspapers/occidental-petroleum-stock-falls-lost-potential/docview/2880296882/se-2?accountid=7064,Negative,Neutral,Negative,Negative,Positive,Neutral
ProQuest,PQ-2857037564 1,EQNR,,https://www.proquest.com/newspapers/norway-speech-prime-minister-at-opening-hywind/docview/2857037564/se-2?accountid=7064,Neutral,Positive,Neutral,Positive,Positive,Neutral
ProQuest,PQ-2857037564 2,EQNR,,https://www.proquest.com/newspapers/norway-speech-prime-minister-at-opening-hywind/docview/2857037564/se-2?accountid=7064,Positive,Positive,Neutral,Positive,Positive,Neutral
ProQuest,PQ-2857037564 3,EQNR,,https://www.proquest.com/newspapers/norway-speech-prime-minister-at-opening-hywind/docview/2857037564/se-2?accountid=7064,Positive,Neutral,Neutral,Positive,Positive,Neutral
ProQuest,PQ-2857037564 4,EQNR,,https://www.proquest.com/newspapers/norway-speech-prime-minister-at-opening-hywind/docview/2857037564/se-2?accountid=7064,Positive,Positive,Neutral,Positive,Positive,Neutral
ProQuest,PQ-2857037564 5,EQNR,,https://www.proquest.com/newspapers/norway-speech-prime-minister-at-opening-hywind/docview/2857037564/se-2?accountid=7064,Neutral,Positive,Neutral,Positive,Positive,Neutral
ProQuest,PQ-2857037564 6,EQNR,,https://www.proquest.com/newspapers/norway-speech-prime-minister-at-opening-hywind/docview/2857037564/se-2?accountid=7064,Neutral,Positive,Neutral,Positive,Positive,Neutral
ProQuest,PQ-2857037564 7,EQNR,,https://www.proquest.com/newspapers/norway-speech-prime-minister-at-opening-hywind/docview/2857037564/se-2?accountid=7064,Positive,Positive,Neutral,Positive,Positive,Neutral
ProQuest,PQ-2857037564 8,EQNR,,https://www.proquest.com/newspapers/norway-speech-prime-minister-at-opening-hywind/docview/2857037564/se-2?accountid=7064,Positive,Neutral,Neutral,Positive,Positive,Neutral
ProQuest,PQ-2857037564 9,EQNR,,https://www.proquest.com/newspapers/norway-speech-prime-minister-at-opening-hywind/docview/2857037564/se-2?accountid=7064,Positive,Positive,Neutral,Positive,Positive,Neutral
ProQuest,PQ-2857037564 10,EQNR,,https://www.proquest.com/newspapers/norway-speech-prime-minister-at-opening-hywind/docview/2857037564/se-2?accountid=7064,Positive,Neutral,Neutral,Positive,Positive,Neutral
SEC Filings,SEC-110465920132038 1,COP,2020-12-03,https://www.sec.gov/Archives/edgar/data/0001163165/000110465920132038/tm2037553d1_8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-110465920132038 2,COP,2020-12-03,https://www.sec.gov/Archives/edgar/data/0001163165/000110465920132038/tm2037553d1_8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-110465920132038 3,COP,2020-12-03,https://www.sec.gov/Archives/edgar/data/0001163165/000110465920132038/tm2037553d1_8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-110465920132038 4,COP,2020-12-03,https://www.sec.gov/Archives/edgar/data/0001163165/000110465920132038/tm2037553d1_8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-110465920132038 5,COP,2020-12-03,https://www.sec.gov/Archives/edgar/data/0001163165/000110465920132038/tm2037553d1_8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-110465920132038 6,COP,2020-12-03,https://www.sec.gov/Archives/edgar/data/0001163165/000110465920132038/tm2037553d1_8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-110465920132038 7,COP,2020-12-03,https://www.sec.gov/Archives/edgar/data/0001163165/000110465920132038/tm2037553d1_8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-110465920132038 8,COP,2020-12-03,https://www.sec.gov/Archives/edgar/data/0001163165/000110465920132038/tm2037553d1_8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-110465920132038 9,COP,2020-12-03,https://www.sec.gov/Archives/edgar/data/0001163165/000110465920132038/tm2037553d1_8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-110465920132038 10,COP,2020-12-03,https://www.sec.gov/Archives/edgar/data/0001163165/000110465920132038/tm2037553d1_8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341020000015 1,CVX,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000093410/000009341020000015/cvx03312020-8xkdoc.htm,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341020000015 2,CVX,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000093410/000009341020000015/cvx03312020-8xkdoc.htm,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341020000015 3,CVX,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000093410/000009341020000015/cvx03312020-8xkdoc.htm,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341020000015 4,CVX,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000093410/000009341020000015/cvx03312020-8xkdoc.htm,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341020000015 5,CVX,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000093410/000009341020000015/cvx03312020-8xkdoc.htm,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341020000015 6,CVX,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000093410/000009341020000015/cvx03312020-8xkdoc.htm,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341020000015 7,CVX,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000093410/000009341020000015/cvx03312020-8xkdoc.htm,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341020000015 8,CVX,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000093410/000009341020000015/cvx03312020-8xkdoc.htm,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341020000015 9,CVX,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000093410/000009341020000015/cvx03312020-8xkdoc.htm,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341020000015 10,CVX,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000093410/000009341020000015/cvx03312020-8xkdoc.htm,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341021000031 1,CVX,2021-08-02,https://www.sec.gov/Archives/edgar/data/0000093410/000009341021000031/cvx-20210727.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341021000031 2,CVX,2021-08-02,https://www.sec.gov/Archives/edgar/data/0000093410/000009341021000031/cvx-20210727.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341021000031 3,CVX,2021-08-02,https://www.sec.gov/Archives/edgar/data/0000093410/000009341021000031/cvx-20210727.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341021000031 4,CVX,2021-08-02,https://www.sec.gov/Archives/edgar/data/0000093410/000009341021000031/cvx-20210727.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341021000031 5,CVX,2021-08-02,https://www.sec.gov/Archives/edgar/data/0000093410/000009341021000031/cvx-20210727.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341021000031 6,CVX,2021-08-02,https://www.sec.gov/Archives/edgar/data/0000093410/000009341021000031/cvx-20210727.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341021000031 7,CVX,2021-08-02,https://www.sec.gov/Archives/edgar/data/0000093410/000009341021000031/cvx-20210727.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341021000031 8,CVX,2021-08-02,https://www.sec.gov/Archives/edgar/data/0000093410/000009341021000031/cvx-20210727.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341021000031 9,CVX,2021-08-02,https://www.sec.gov/Archives/edgar/data/0000093410/000009341021000031/cvx-20210727.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341021000031 10,CVX,2021-08-02,https://www.sec.gov/Archives/edgar/data/0000093410/000009341021000031/cvx-20210727.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341019000008 1,CVX,2019-02-22,https://www.sec.gov/Archives/edgar/data/0000093410/000009341019000008/cvx12312018-10kdoc.htm,Positive,Neutral,Neutral,Negative,Positive,Neutral
SEC Filings,SEC-9341019000008 2,CVX,2019-02-22,https://www.sec.gov/Archives/edgar/data/0000093410/000009341019000008/cvx12312018-10kdoc.htm,Neutral,Positive,Neutral,Negative,Neutral,Neutral
SEC Filings,SEC-9341019000008 3,CVX,2019-02-22,https://www.sec.gov/Archives/edgar/data/0000093410/000009341019000008/cvx12312018-10kdoc.htm,Positive,Positive,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-9341019000008 4,CVX,2019-02-22,https://www.sec.gov/Archives/edgar/data/0000093410/000009341019000008/cvx12312018-10kdoc.htm,Neutral,Positive,Neutral,Negative,Neutral,Neutral
SEC Filings,SEC-9341019000008 5,CVX,2019-02-22,https://www.sec.gov/Archives/edgar/data/0000093410/000009341019000008/cvx12312018-10kdoc.htm,Positive,Positive,Neutral,Negative,Positive,Neutral
SEC Filings,SEC-9341019000008 6,CVX,2019-02-22,https://www.sec.gov/Archives/edgar/data/0000093410/000009341019000008/cvx12312018-10kdoc.htm,Neutral,Positive,Positive,Negative,Neutral,Neutral
SEC Filings,SEC-9341019000008 7,CVX,2019-02-22,https://www.sec.gov/Archives/edgar/data/0000093410/000009341019000008/cvx12312018-10kdoc.htm,Neutral,Positive,Neutral,Negative,Neutral,Neutral
SEC Filings,SEC-9341019000008 8,CVX,2019-02-22,https://www.sec.gov/Archives/edgar/data/0000093410/000009341019000008/cvx12312018-10kdoc.htm,Neutral,Positive,Neutral,Negative,Neutral,Neutral
SEC Filings,SEC-9341019000008 9,CVX,2019-02-22,https://www.sec.gov/Archives/edgar/data/0000093410/000009341019000008/cvx12312018-10kdoc.htm,Positive,Positive,Neutral,Neutral,Positive,Neutral
SEC Filings,SEC-9341019000008 10,CVX,2019-02-22,https://www.sec.gov/Archives/edgar/data/0000093410/000009341019000008/cvx12312018-10kdoc.htm,Neutral,Positive,Positive,Neutral,Positive,Neutral
SEC Filings,SEC-119312519084325 1,XOM,2019-03-25,https://www.sec.gov/Archives/edgar/data/0000034088/000119312519084325/d692113d8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-119312519084325 2,XOM,2019-03-25,https://www.sec.gov/Archives/edgar/data/0000034088/000119312519084325/d692113d8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-119312519084325 3,XOM,2019-03-25,https://www.sec.gov/Archives/edgar/data/0000034088/000119312519084325/d692113d8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-119312519084325 4,XOM,2019-03-25,https://www.sec.gov/Archives/edgar/data/0000034088/000119312519084325/d692113d8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-119312519084325 5,XOM,2019-03-25,https://www.sec.gov/Archives/edgar/data/0000034088/000119312519084325/d692113d8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-119312519084325 6,XOM,2019-03-25,https://www.sec.gov/Archives/edgar/data/0000034088/000119312519084325/d692113d8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-119312519084325 7,XOM,2019-03-25,https://www.sec.gov/Archives/edgar/data/0000034088/000119312519084325/d692113d8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-119312519084325 8,XOM,2019-03-25,https://www.sec.gov/Archives/edgar/data/0000034088/000119312519084325/d692113d8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-119312519084325 9,XOM,2019-03-25,https://www.sec.gov/Archives/edgar/data/0000034088/000119312519084325/d692113d8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
SEC Filings,SEC-119312519084325 10,XOM,2019-03-25,https://www.sec.gov/Archives/edgar/data/0000034088/000119312519084325/d692113d8k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Earnings Call Presentations,EP-210 1,SHEL,2021-10-28,,Neutral,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-210 2,SHEL,2021-10-28,,Positive,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-210 3,SHEL,2021-10-28,,Positive,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-210 4,SHEL,2021-10-28,,Positive,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-210 5,SHEL,2021-10-28,,Positive,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-210 6,SHEL,2021-10-28,,Positive,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-210 7,SHEL,2021-10-28,,Positive,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-210 8,SHEL,2021-10-28,,Positive,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-210 9,SHEL,2021-10-28,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
