,Unique_ID,Ticker,Source,Date,Article Headline,Neutral,Positive,Negative
21,EP-120,PSX,Earnings Call Presentations,2021-10-29,"Phillips 66, Q3 2021 Earnings Call, Oct 29, 2021",0.45790472626686096,0.1576901306398213,0.3844051069269578
22,EP-121,MPC,Earnings Call Presentations,2021-11-02,"Marathon Petroleum Corporation, Q3 2021 Earnings Call, Nov 02, 2021",0.42740222521954113,0.14807965849629706,0.42451812471780515
23,EP-122,DVN,Earnings Call Presentations,2021-11-03,"Devon Energy Corporation, Q3 2021 Earnings Call, Nov 03, 2021",0.6526182573288679,0.013631630011580208,0.3337501179088246
24,EP-123,MRO,Earnings Call Presentations,2021-11-04,"Marathon Oil Corporation, Q3 2021 Earnings Call, Nov 04, 2021",0.733550648101502,0.01561680736227168,0.25083254733019406
25,EP-125,OXY,Earnings Call Presentations,2021-11-05,"Occidental Petroleum Corporation, Q3 2021 Earnings Call, Nov 05, 2021",0.7419334799051285,0.019505541073158383,0.23856095783412457
26,EP-126,HES,Earnings Call Presentations,2022-01-26,"Hess Corporation, Q4 2021 Earnings Call, Jan 26, 2022",0.48859266406641555,0.08777778638670078,0.4236295544184171
27,EP-127,VLO,Earnings Call Presentations,2022-01-27,"Valero Energy Corporation, Q4 2021 Earnings Call, Jan 27, 2022",0.43375590443611145,0.1719975813425013,0.39424649785671917
28,EP-128,PSX,Earnings Call Presentations,2022-01-28,"Phillips 66, Q4 2021 Earnings Call, Jan 28, 2022",0.565902467550976,0.15494851741407598,0.2791490288717406
29,EP-129,MPC,Earnings Call Presentations,2022-02-02,"Marathon Petroleum Corporation, Q4 2021 Earnings Call, Feb 02, 2022",0.47188368460370433,0.049381620871524014,0.4787347024927537
30,EP-13,CVX,Earnings Call Presentations,2021-04-30,"Chevron Corporation, Q1 2021 Earnings Call, Apr 30, 2021",0.14231935469433665,0.4362164167687297,0.4214642336592078
31,EP-130,DVN,Earnings Call Presentations,2022-02-16,"Devon Energy Corporation, Q4 2021 Earnings Call, Feb 16, 2022",0.7047210513529453,0.030425732193345375,0.2648532134904103
32,EP-131,MRO,Earnings Call Presentations,2022-02-17,"Marathon Oil Corporation, Q4 2021 Earnings Call, Feb 17, 2022",0.7040677493946119,0.019490127621049232,0.2764421139251102
33,EP-132,OXY,Earnings Call Presentations,2022-02-25,"Occidental Petroleum Corporation, Q4 2021 Earnings Call, Feb 25, 2022",0.6779811313996712,0.04682148348850509,0.27519736625254154
34,EP-134,VLO,Earnings Call Presentations,2022-04-26,"Valero Energy Corporation, Q1 2022 Earnings Call, Apr 26, 2022",0.32046366576105356,0.3403997008378307,0.33913661539554596
35,EP-135,HES,Earnings Call Presentations,2022-04-27,"Hess Corporation, Q1 2022 Earnings Call, Apr 27, 2022",0.44686249485955787,0.2136402354360773,0.33949726304182637
36,EP-136,PSX,Earnings Call Presentations,2022-04-29,"Phillips 66, Q1 2022 Earnings Call, Apr 29, 2022",0.3448642850188272,0.32117319346538614,0.3339624774775335
37,EP-137,DVN,Earnings Call Presentations,2022-05-03,"Devon Energy Corporation, Q1 2022 Earnings Call, May 03, 2022",0.67400413853201,0.03137480205094272,0.29462104256857524
38,EP-138,MPC,Earnings Call Presentations,2022-05-03,"Marathon Petroleum Corporation, Q1 2022 Earnings Call, May 03, 2022",0.41860100409636897,0.17679909352834025,0.4045999130855004
39,EP-139,MRO,Earnings Call Presentations,2022-05-05,"Marathon Oil Corporation, Q1 2022 Earnings Call, May 05, 2022",0.5625537909906019,0.053254858844659546,0.38419134576212277
40,EP-14,CVX,Earnings Call Presentations,2021-01-29,"Chevron Corporation, Q4 2020 Earnings Call, Jan 29, 2021",0.2106396028151115,0.4602635881553094,0.32909681648015976
41,EP-141,OXY,Earnings Call Presentations,2022-05-11,"Occidental Petroleum Corporation, Q1 2022 Earnings Call, May 11, 2022",0.7817945792339742,0.01570109714521095,0.20250431913882494
42,EP-142,HES,Earnings Call Presentations,2022-07-27,"Hess Corporation, Q2 2022 Earnings Call, Jul 27, 2022",0.487976081096209,0.21239671361847565,0.29962718572754127
43,EP-143,VLO,Earnings Call Presentations,2022-07-28,"Valero Energy Corporation, Q2 2022 Earnings Call, Jul 28, 2022",0.33738755838324624,0.26698951857785386,0.3956229146569967
44,EP-144,PSX,Earnings Call Presentations,2022-07-29,"Phillips 66, Q2 2022 Earnings Call, Jul 29, 2022",0.40372617702398983,0.34224018161850317,0.2540336458810738
45,EP-145,DVN,Earnings Call Presentations,2022-08-02,"Devon Energy Corporation, Q2 2022 Earnings Call, Aug 02, 2022",0.6375137301161885,0.013777251355350018,0.34870902057737113
46,EP-146,MPC,Earnings Call Presentations,2022-08-02,"Marathon Petroleum Corporation, Q2 2022 Earnings Call, Aug 02, 2022",0.5340723262301513,0.11587534166340317,0.35005234820502146
47,EP-147,OXY,Earnings Call Presentations,2022-08-03,"Occidental Petroleum Corporation, Q2 2022 Earnings Call, Aug 03, 2022",0.6048193035854234,0.08281423596458302,0.31236647069454193
48,EP-148,MRO,Earnings Call Presentations,2022-08-04,"Marathon Oil Corporation, Q2 2022 Earnings Call, Aug 04, 2022",0.6542035192251205,0.07807249430980948,0.2677240123351415
49,EP-15,CVX,Earnings Call Presentations,2020-10-30,"Chevron Corporation, Q3 2020 Earnings Call, Oct 30, 2020",0.49848058509329957,0.14745324462031326,0.3540661409497261
50,EP-150,VLO,Earnings Call Presentations,2022-10-25,"Valero Energy Corporation, Q3 2022 Earnings Call, Oct 25, 2022",0.36143708663682145,0.2580040132937332,0.380558871353666
51,EP-151,HES,Earnings Call Presentations,2022-10-26,"Hess Corporation, Q3 2022 Earnings Call, Oct 26, 2022",0.40562282092869284,0.19803782748058438,0.39633935820311306
52,EP-152,MPC,Earnings Call Presentations,2022-11-01,"Marathon Petroleum Corporation, Q3 2022 Earnings Call, Nov 01, 2022",0.5160786176566035,0.1782771301222965,0.3056442472152412
53,EP-153,PSX,Earnings Call Presentations,2022-11-01,"Phillips 66, Q3 2022 Earnings Call, Nov 01, 2022",0.21217187587171793,0.36918405523257597,0.41864405678851263
54,EP-154,DVN,Earnings Call Presentations,2022-11-02,"Devon Energy Corporation, Q3 2022 Earnings Call, Nov 02, 2022",0.7111622587156793,0.01206082998154064,0.2767769197622935
55,EP-155,MRO,Earnings Call Presentations,2022-11-03,"Marathon Oil Corporation, Q3 2022 Earnings Call, Nov 03, 2022",0.6669190207665617,0.023708680475300007,0.3093723018061031
56,EP-157,OXY,Earnings Call Presentations,2022-11-09,"Occidental Petroleum Corporation, Q3 2022 Earnings Call, Nov 09, 2022",0.6731917027384042,0.03416085904464126,0.2926474271342158
57,EP-158,HES,Earnings Call Presentations,2023-01-25,"Hess Corporation, Q4 2022 Earnings Call, Jan 25, 2023",0.39306770140926045,0.04549531793842713,0.5614369626467427
58,EP-159,VLO,Earnings Call Presentations,2023-01-26,"Valero Energy Corporation, Q4 2022 Earnings Call, Jan 26, 2023",0.3331810371684177,0.2908331085262554,0.3759858432625021
59,EP-16,CVX,Earnings Call Presentations,2020-07-31,"Chevron Corporation, Q2 2020 Earnings Call, Jul 31, 2020",0.2973808851093054,0.2664885898785932,0.43613054869430407
60,EP-160,MPC,Earnings Call Presentations,2023-01-31,"Marathon Petroleum Corporation, Q4 2022 Earnings Call, Jan 31, 2023",0.44525402908523876,0.21736563969817427,0.33738036784860825
61,EP-161,PSX,Earnings Call Presentations,2023-01-31,"Phillips 66, Q4 2022 Earnings Call, Jan 31, 2023",0.2632535974095975,0.4394852038738983,0.29726118833890985
62,EP-162,DVN,Earnings Call Presentations,2023-02-15,"Devon Energy Corporation, Q4 2022 Earnings Call, Feb 15, 2023",0.6620342890647325,0.0878191866319288,0.25014652989127417
63,EP-163,MRO,Earnings Call Presentations,2023-02-16,"Marathon Oil Corporation, Q4 2022 Earnings Call, Feb 16, 2023",0.6873149634762243,0.02159204596484249,0.2910930084233934
64,EP-165,OXY,Earnings Call Presentations,2023-02-28,"Occidental Petroleum Corporation, Q4 2022 Earnings Call, Feb 28, 2023",0.6272063993594863,0.07658030816607854,0.2962132866748355
65,EP-166,HES,Earnings Call Presentations,2023-04-26,"Hess Corporation, Q1 2023 Earnings Call, Apr 26, 2023",0.41929447846487167,0.11608333401381969,0.4646221976727247
66,EP-167,VLO,Earnings Call Presentations,2023-04-27,"Valero Energy Corporation, Q1 2023 Earnings Call, Apr 27, 2023",0.3333550489818056,0.20004946598783135,0.46659549822409946
67,EP-168,MPC,Earnings Call Presentations,2023-05-02,"Marathon Petroleum Corporation, Q1 2023 Earnings Call, May 02, 2023",0.5190367653433766,0.2760730631915586,0.20489015376993588
68,EP-169,PSX,Earnings Call Presentations,2023-05-03,"Phillips 66, Q1 2023 Earnings Call, May 03, 2023",0.2901890215774377,0.2761733033694327,0.43363768234848976
69,EP-17,CVX,Earnings Call Presentations,2020-05-01,"Chevron Corporation, Q1 2020 Earnings Call, May 01, 2020",0.20758135554691157,0.3255892147620519,0.46682942751795053
70,EP-170,MRO,Earnings Call Presentations,2023-05-04,"Marathon Oil Corporation, Q1 2023 Earnings Call, May 04, 2023",0.7027890502729199,0.0320688026364554,0.2651421475139531
71,EP-172,DVN,Earnings Call Presentations,2023-05-09,"Devon Energy Corporation, Q1 2023 Earnings Call, May 09, 2023",0.8106567544862628,0.013696133065968752,0.17564711719751358
72,EP-173,OXY,Earnings Call Presentations,2023-05-10,"Occidental Petroleum Corporation, Q1 2023 Earnings Call, May 10, 2023",0.5498838759958744,0.1451058675431543,0.30501027901967365
73,EP-174,HES,Earnings Call Presentations,2023-07-26,"Hess Corporation, Q2 2023 Earnings Call, Jul 26, 2023",0.3550652140243487,0.18974035902118142,0.4551944082433527
74,EP-175,VLO,Earnings Call Presentations,2023-07-27,"Valero Energy Corporation, Q2 2023 Earnings Call, Jul 27, 2023",0.3357419930398464,0.10939716113110383,0.5548608570049206
75,EP-176,MPC,Earnings Call Presentations,2023-08-01,"Marathon Petroleum Corporation, Q2 2023 Earnings Call, Aug 01, 2023",0.4646318247541785,0.1881325274395446,0.34723564858237904
76,EP-177,DVN,Earnings Call Presentations,2023-08-02,"Devon Energy Corporation, Q2 2023 Earnings Call, Aug 02, 2023",0.704620996998115,0.018563850105486134,0.27681515653702343
77,EP-178,PSX,Earnings Call Presentations,2023-08-02,"Phillips 66, Q2 2023 Earnings Call, Aug 02, 2023",0.35410037900631625,0.2906855274923146,0.355214091638724
78,EP-179,MRO,Earnings Call Presentations,2023-08-03,"Marathon Oil Corporation, Q2 2023 Earnings Call, Aug 03, 2023",0.7134378650225699,0.01557978184428066,0.27098234044387937
79,EP-18,CVX,Earnings Call Presentations,2020-01-31,"Chevron Corporation, Q4 2019 Earnings Call, Jan 31, 2020",0.2729185216128826,0.19690751302987336,0.5301739417016507
80,EP-19,CVX,Earnings Call Presentations,2019-11-01,"Chevron Corporation, Q3 2019 Earnings Call, Nov 01, 2019",0.2784038906296094,0.2481536933531364,0.4734424551328023
81,EP-199,SHEL,Earnings Call Presentations,2022-05-05,"Shell plc, Q1 2022 Earnings Call, May 05, 2022",0.5243163704872131,0.01361910067498684,0.46206449437886477
82,EP-2,CVX,Earnings Call Presentations,2024-02-02,"Chevron Corporation, Q4 2023 Earnings Call, Feb 02, 2024",0.4612051658332348,0.062251593358814715,0.4765432491898537
83,EP-20,CVX,Earnings Call Presentations,2019-08-02,"Chevron Corporation, Q2 2019 Earnings Call, Aug 02, 2019",0.610061279963702,0.034602466330397874,0.3553362637758255
84,EP-200,COP,Earnings Call Presentations,2022-05-05,"ConocoPhillips, Q1 2022 Earnings Call, May 05, 2022",0.5340702727437019,0.027044784091413022,0.43888496831059454
85,EP-201,XOM,Earnings Call Presentations,2022-07-29,"Exxon Mobil Corporation, Q2 2022 Earnings Call, Jul 29, 2022",0.6906661211202542,0.01800373833005627,0.2913301261141896
86,EP-202,SHEL,Earnings Call Presentations,2022-07-28,"Shell plc, Q2 2022 Earnings Call, Jul 28, 2022",0.49020148627460003,0.026169548742473125,0.48362898640334606
87,EP-203,EOG,Earnings Call Presentations,2022-05-06,"EOG Resources, Inc., Q1 2022 Earnings Call, May 06, 2022",0.6608571638353169,0.01425172109156847,0.3248910899274051
88,EP-204,TTE,Earnings Call Presentations,2022-07-28,"TotalEnergies SE, Q2 2022 Earnings Call, Jul 28, 2022",0.46118823332445963,0.14929315873554774,0.38951860181987286
89,EP-205,TTE,Earnings Call Presentations,2021-10-28,"TotalEnergies SE, Q3 2021 Earnings Call, Oct 28, 2021",0.8943107426166534,0.017777564702555537,0.08791169663891196
90,EP-206,SHEL,Earnings Call Presentations,2021-10-27,"Royal Dutch Shell plc, Q3 2021 Pre Recorded Earnings Call, Oct 28, 2021",0.7040423676371574,0.00870129989925772,0.2872563302516937
91,EP-207,EOG,Earnings Call Presentations,2021-08-05,"EOG Resources, Inc., Q2 2021 Earnings Call, Aug 05, 2021",0.5552672271927198,0.048566431221034795,0.3961663535899586
92,EP-208,BP,Earnings Call Presentations,2021-11-02,"BP p.l.c., Q3 2021 Earnings Call, Nov 02, 2021",0.7103314874693751,0.047054330992978066,0.24261417030356824
93,EP-209,XOM,Earnings Call Presentations,2021-10-29,"Exxon Mobil Corporation, Q3 2021 Earnings Call, Oct 29, 2021",0.5144827356562018,0.014030648162588477,0.47148666251450777
94,EP-21,CVX,Earnings Call Presentations,2019-04-26,"Chevron Corporation, Q1 2019 Earnings Call, Apr 26, 2019",0.24676436465233564,0.28914582915604115,0.4640898429788649
95,EP-210,SHEL,Earnings Call Presentations,2021-10-28,"Royal Dutch Shell plc, Q3 2021 Earnings Call, Oct 28, 2021",0.08963595982640982,0.02161886030808091,0.8887451589107513
96,EP-211,TTE,Earnings Call Presentations,2021-07-29,"TotalEnergies SE, Q2 2021 Earnings Call, Jul 29, 2021",0.5253939442336559,0.10569174925331026,0.36891431198455393
97,EP-212,SHEL,Earnings Call Presentations,2021-07-29,"Royal Dutch Shell plc, Q2 2021 Earnings Call, Jul 29, 2021",0.13355534430593252,0.03977087698876858,0.8266737759113312
98,EP-213,SHEL,Earnings Call Presentations,2021-07-28,"Royal Dutch Shell plc, Q2 2021 Pre Recorded Earnings Call, Jul 29, 2021",0.5028003081679344,0.010294338222593069,0.48690540716052055
99,EP-214,COP,Earnings Call Presentations,2021-08-03,"ConocoPhillips, Q2 2021 Earnings Call, Aug 03, 2021",0.41738497242331507,0.016238076984882353,0.5663769498467446
100,EP-215,BP,Earnings Call Presentations,2021-08-03,"BP p.l.c., Q2 2021 Earnings Call, Aug 03, 2021",0.506479968689382,0.10418225876055658,0.3893377691507339
101,EP-216,XOM,Earnings Call Presentations,2021-07-30,"Exxon Mobil Corporation, Q2 2021 Earnings Call, Jul 30, 2021",0.6898690809806188,0.06096404163787762,0.24916686601936816
102,EP-217,COP,Earnings Call Presentations,2021-11-02,"ConocoPhillips, Q3 2021 Earnings Call, Nov 02, 2021",0.4612084962427616,0.057720590941607954,0.4810709200799465
103,EP-218,TTE,Earnings Call Presentations,2022-04-28,"TotalEnergies SE, Q1 2022 Earnings Call, Apr 28, 2022",0.6442465595901012,0.03913032035343349,0.31662310771644114
104,EP-219,EOG,Earnings Call Presentations,2022-02-25,"EOG Resources, Inc., Q4 2021 Earnings Call, Feb 25, 2022",0.7323239013138745,0.014824497823913893,0.25285158554712933
105,EP-22,CVX,Earnings Call Presentations,2019-02-01,"Chevron Corporation, Q4 2018 Earnings Call, Feb 01, 2019",0.4924451873770782,0.21194675019276993,0.29560804100973265
106,EP-220,TTE,Earnings Call Presentations,2022-02-10,"TotalEnergies SE, 2021 Earnings Call, Feb 10, 2022",0.4043565481901169,0.04868932198733091,0.5469541209936142
107,EP-221,SHEL,Earnings Call Presentations,2022-05-04,"Shell plc, Q1 2022 Pre Recorded Earnings Call, May 05, 2022",0.48726174980401993,0.034895410761237144,0.4778427854180336
108,EP-222,BP,Earnings Call Presentations,2022-05-03,"BP p.l.c., Q1 2022 Earnings Call, May 03, 2022",0.31414973070578917,0.37219081732577514,0.3136594534984657
109,EP-223,XOM,Earnings Call Presentations,2022-04-29,"Exxon Mobil Corporation, Q1 2022 Earnings Call, Apr 29, 2022",0.5550731979310513,0.040582428531100355,0.40434438176453114
110,EP-224,SHEL,Earnings Call Presentations,2022-02-02,"Shell plc, Q4 2021 Pre Recorded Earnings Call, Feb 03, 2022",0.7355217337608337,0.022063413821160793,0.2424148291349411
111,EP-225,XOM,Earnings Call Presentations,2022-02-01,"Exxon Mobil Corporation, Q4 2021 Earnings Call, Feb 01, 2022",0.5576642148196698,0.015027463622391223,0.4273083209991455
112,EP-226,EOG,Earnings Call Presentations,2021-11-05,"EOG Resources, Inc., Q3 2021 Earnings Call, Nov 05, 2021",0.5688855024054646,0.02573119243606925,0.4053833093494177
113,EP-227,BP,Earnings Call Presentations,2022-02-08,"BP p.l.c., Q4 2021 Earnings Call, Feb 08, 2022",0.5850162919610739,0.038630907945334914,0.37635278798639776
114,EP-228,COP,Earnings Call Presentations,2022-02-03,"ConocoPhillips, Q4 2021 Earnings Call, Feb 03, 2022",0.5360149201005697,0.012784803286194801,0.45120025364061195
115,EP-229,SHEL,Earnings Call Presentations,2022-02-03,"Royal Dutch Shell plc, Q4 2021 Earnings Call, Feb 03, 2022",0.10847200453281403,0.010882333852350712,0.8806456923484802
116,EP-23,HES,Earnings Call Presentations,2019-01-30,"Hess Corporation, Q4 2018 Earnings Call, Jan 30, 2019",0.46860125412543613,0.05875249941729837,0.4726462707751327
117,EP-24,VLO,Earnings Call Presentations,2019-01-31,"Valero Energy Corporation, Q4 2018 Earnings Call, Jan 31, 2019",0.32768600216756266,0.2402643756940961,0.4320496264845133
118,EP-25,MPC,Earnings Call Presentations,2019-02-07,"Marathon Petroleum Corporation, Q4 2018 Earnings Call, Feb 07, 2019",0.34164348151534796,0.2362578016705811,0.4220987357199192
119,EP-256,COP,Earnings Call Presentations,2022-11-03,"ConocoPhillips, Q3 2022 Earnings Call, Nov 03, 2022",0.4874075658619404,0.024286499246954918,0.4883059114217758
120,EP-257,BP,Earnings Call Presentations,2022-11-01,"BP p.l.c., Q3 2022 Earnings Call, Nov 01, 2022",0.33369982801377773,0.18368166343619427,0.48261852624515694
121,EP-258,XOM,Earnings Call Presentations,2022-10-28,"Exxon Mobil Corporation, Q3 2022 Earnings Call, Oct 28, 2022",0.4703258660932382,0.15989658500378331,0.3697775937616825
122,EP-26,PSX,Earnings Call Presentations,2019-02-08,"Phillips 66, Q4 2018 Earnings Call, Feb 08, 2019",0.518126422772184,0.15105767897330225,0.3308159061707556
123,EP-261,EOG,Earnings Call Presentations,2022-11-04,"EOG Resources, Inc., Q3 2022 Earnings Call, Nov 04, 2022",0.6693366184416745,0.014050132491522364,0.3166132378909323
124,EP-262,EOG,Earnings Call Presentations,2022-08-05,"EOG Resources, Inc., Q2 2022 Earnings Call, Aug 05, 2022",0.6052271312272007,0.013465717985210094,0.3813071525232358
125,EP-263,COP,Earnings Call Presentations,2022-08-04,"ConocoPhillips, Q2 2022 Earnings Call, Aug 04, 2022",0.4597139485180378,0.19759960509836674,0.34268646240234374
126,EP-264,BP,Earnings Call Presentations,2022-08-02,"BP p.l.c., Q2 2022 Earnings Call, Aug 02, 2022",0.5536200619406171,0.05302169867273834,0.3933582521147198
127,EP-265,SHEL,Earnings Call Presentations,2022-10-27,"Shell plc, Q3 2022 Earnings Call, Oct 27, 2022",0.8068660497665405,0.02421746961772442,0.16891646664589643
128,EP-266,TTE,Earnings Call Presentations,2022-10-27,"TotalEnergies SE, Q3 2022 Earnings Call, Oct 27, 2022",0.6083823472261429,0.3350311629474163,0.05658649578690529
129,EP-267,SHEL,Earnings Call Presentations,2022-10-26,"Shell plc, Q3 2022 Pre Recorded Earnings Call, Oct 27, 2022",0.46682645566761494,0.011940395459532738,0.5212331488728523
130,EP-27,OXY,Earnings Call Presentations,2019-02-13,"Occidental Petroleum Corporation, Q4 2018 Earnings Call, Feb 13, 2019",0.6246259080675932,0.10689451738905448,0.2684795819222927
131,EP-28,MRO,Earnings Call Presentations,2019-02-14,"Marathon Oil Corporation, Q4 2018 Earnings Call, Feb 14, 2019",0.5092120580375195,0.02440543459462268,0.46638252266815733
132,EP-281,BP,Earnings Call Presentations,2020-10-27,"BP p.l.c., Q3 2020 Earnings Call, Oct 27, 2020",0.48282378674908116,0.20479908911511302,0.31237713586200366
133,EP-282,EOG,Earnings Call Presentations,2020-08-07,"EOG Resources, Inc., Q2 2020 Earnings Call, Aug 07, 2020",0.5945068266242742,0.0859572530258447,0.31953592598438263
134,EP-283,EOG,Earnings Call Presentations,2019-08-02,"EOG Resources, Inc., Q2 2019 Earnings Call, Aug 02, 2019",0.5336890244348482,0.1250231247395277,0.34128784676167095
135,EP-284,SHEL,Earnings Call Presentations,2020-10-28,"Royal Dutch Shell plc, Q3 2020 Pre Recorded Earnings Call, Oct 29, 2020",0.5645919839541117,0.014109980108009445,0.42129802000191474
136,EP-285,COP,Earnings Call Presentations,2020-07-30,"ConocoPhillips, Q2 2020 Earnings Call, Jul 30, 2020",0.31733371294103563,0.1607269304804504,0.5219393512234092
137,EP-286,SHEL,Earnings Call Presentations,2020-07-30,"Royal Dutch Shell plc, Q2 2020 Earnings Call, Jul 30, 2020",0.40400898371907795,0.20160559251565824,0.3943854140287096
138,EP-287,BP,Earnings Call Presentations,2020-08-04,"BP PLC, Q2 2020 Earnings Call, Aug 04, 2020",0.4070407700012712,0.09400587223524995,0.49895336013287306
139,EP-288,XOM,Earnings Call Presentations,2020-07-31,"Exxon Mobil Corporation, Q2 2020 Earnings Call, Jul 31, 2020",0.3326237393277032,0.4678949541412294,0.19948130367057665
140,EP-289,XOM,Earnings Call Presentations,2019-08-02,"Exxon Mobil Corporation, Q2 2019 Earnings Call, Aug 02, 2019",0.5466362579415242,0.08640574881186087,0.3669580081477761
141,EP-290,EOG,Earnings Call Presentations,2020-11-06,"EOG Resources, Inc., Q3 2020 Earnings Call, Nov 06, 2020",0.5959143760529432,0.02063441699878736,0.3834512016989968
142,EP-291,XOM,Earnings Call Presentations,2020-10-30,"Exxon Mobil Corporation, Q3 2020 Earnings Call, Oct 30, 2020",0.3473315078478593,0.36501062238732207,0.28765787040958035
143,EP-292,BP,Earnings Call Presentations,2021-02-02,"BP p.l.c., Q4 2020 Earnings Call, Feb 02, 2021",0.5265307664871216,0.17695017385606965,0.2965190686285496
144,EP-293,COP,Earnings Call Presentations,2019-07-30,"ConocoPhillips, Q2 2019 Earnings Call, Jul 30, 2019",0.5037364037707448,0.03674400271847844,0.45951957255601883
145,EP-294,SHEL,Earnings Call Presentations,2020-10-29,"Royal Dutch Shell plc, Q3 2020 Earnings Call, Oct 29, 2020",0.22791627049446106,0.010431054048240185,0.7616526782512665
146,EP-295,SHEL,Earnings Call Presentations,2019-08-01,"Royal Dutch Shell plc, Q2 2019 Earnings Call, Aug 01, 2019",0.38469204228992265,0.2578405978468557,0.35746735613793135
147,EP-296,TTE,Earnings Call Presentations,2020-10-30,"TOTAL SE, Q3 2020 Earnings Call, Oct 30, 2020",0.4856623746454716,0.2581605055214216,0.2561771084244053
148,EP-297,COP,Earnings Call Presentations,2020-10-29,"ConocoPhillips, Q3 2020 Earnings Call, Oct 29, 2020",0.3374671842902899,0.015475794052084288,0.6470570266246796
149,EP-298,TTE,Earnings Call Presentations,2020-07-30,"TOTAL SE, Q2 2020 Earnings Call, Jul 30, 2020",0.3456761473789811,0.2857744926586747,0.3685493594966829
150,EP-299,EOG,Earnings Call Presentations,2020-02-28,"EOG Resources, Inc., Q4 2019 Earnings Call, Feb 28, 2020",0.6758222360163927,0.07422489374876022,0.24995288774371147
151,EP-3,CVX,Earnings Call Presentations,2023-10-27,"Chevron Corporation, Q3 2023 Earnings Call, Oct 27, 2023",0.2407820662483573,0.3565731788985431,0.40264477115124464
